repo_full_name,alert_number,title,severity,cwes
google-gemini/gemini-cli,15,Polynomial regular expression used on uncontrolled data,high,CWE-1333;CWE-400;CWE-730
google-gemini/gemini-cli,14,Polynomial regular expression used on uncontrolled data,high,CWE-1333;CWE-400;CWE-730
google-gemini/gemini-cli,13,Polynomial regular expression used on uncontrolled data,high,CWE-1333;CWE-400;CWE-730
google-gemini/gemini-cli,12,Polynomial regular expression used on uncontrolled data,high,CWE-1333;CWE-400;CWE-730
google-gemini/gemini-cli,11,Polynomial regular expression used on uncontrolled data,high,CWE-1333;CWE-400;CWE-730
google-gemini/gemini-cli,10,Polynomial regular expression used on uncontrolled data,high,CWE-1333;CWE-400;CWE-730
google-gemini/gemini-cli,9,Polynomial regular expression used on uncontrolled data,high,CWE-1333;CWE-400;CWE-730
google-gemini/gemini-cli,8,Incomplete URL substring sanitization,high,CWE-020
google-gemini/gemini-cli,7,Overly permissive regular expression range,medium,CWE-020
google-gemini/gemini-cli,6,Shell command built from environment values,medium,CWE-078;CWE-088
google-gemini/gemini-cli,5,Shell command built from environment values,medium,CWE-078;CWE-088
google-gemini/gemini-cli,4,Insecure randomness,high,CWE-338
google-gemini/gemini-cli,3,Incomplete string escaping or encoding,high,CWE-020;CWE-080;CWE-116
google-gemini/gemini-cli,2,Use of password hash with insufficient computational effort,high,CWE-916
google-gemini/gemini-cli,1,Use of password hash with insufficient computational effort,high,CWE-916
affaan-m/everything-claude-code,20,Polynomial regular expression used on uncontrolled data,high,CWE-1333;CWE-400;CWE-730
affaan-m/everything-claude-code,19,Polynomial regular expression used on uncontrolled data,high,CWE-1333;CWE-400;CWE-730
affaan-m/everything-claude-code,18,Polynomial regular expression used on uncontrolled data,high,CWE-1333;CWE-400;CWE-730
affaan-m/everything-claude-code,17,Improper code sanitization,medium,CWE-079;CWE-094;CWE-116
affaan-m/everything-claude-code,16,Improper code sanitization,medium,CWE-079;CWE-094;CWE-116
affaan-m/everything-claude-code,15,Clear-text logging of sensitive information,high,CWE-312;CWE-359;CWE-532
affaan-m/everything-claude-code,14,Clear-text logging of sensitive information,high,CWE-312;CWE-359;CWE-532
affaan-m/everything-claude-code,13,Clear-text logging of sensitive information,high,CWE-312;CWE-359;CWE-532
affaan-m/everything-claude-code,12,Incomplete URL substring sanitization,high,CWE-020
affaan-m/everything-claude-code,11,Incomplete URL substring sanitization,high,CWE-020
affaan-m/everything-claude-code,10,Incomplete URL substring sanitization,high,CWE-020
affaan-m/everything-claude-code,9,Incomplete URL substring sanitization,high,CWE-020
affaan-m/everything-claude-code,8,Incomplete string escaping or encoding,high,CWE-020;CWE-080;CWE-116
affaan-m/everything-claude-code,7,Incomplete string escaping or encoding,high,CWE-020;CWE-080;CWE-116
affaan-m/everything-claude-code,6,Incomplete string escaping or encoding,high,CWE-020;CWE-080;CWE-116
affaan-m/everything-claude-code,5,Incomplete string escaping or encoding,high,CWE-020;CWE-080;CWE-116
affaan-m/everything-claude-code,4,Incomplete string escaping or encoding,high,CWE-020;CWE-080;CWE-116
affaan-m/everything-claude-code,3,Incomplete string escaping or encoding,high,CWE-020;CWE-080;CWE-116
affaan-m/everything-claude-code,2,Double escaping or unescaping,high,CWE-020;CWE-116
affaan-m/everything-claude-code,1,Double escaping or unescaping,high,CWE-020;CWE-116
browser-use/browser-use,9,Incomplete URL substring sanitization,high,CWE-020
browser-use/browser-use,8,Incomplete URL substring sanitization,high,CWE-020
browser-use/browser-use,7,Incomplete URL substring sanitization,high,CWE-020
browser-use/browser-use,6,Incomplete URL substring sanitization,high,CWE-020
browser-use/browser-use,5,Bad HTML filtering regexp,high,CWE-020;CWE-116;CWE-185;CWE-186
