repo_full_name,pr_number,pr_title,created_at,merged_at,closed_at,status,library_name,days_to_resolution
github/spec-kit,2489,chore(deps): bump actions/setup-dotnet from 4.3.1 to 5.2.0,2026-05-07,2026-05-08,2026-05-08,merged,actions/setup-dotnet,1
github/spec-kit,2488,chore(deps): bump actions/github-script from 7 to 9,2026-05-07,2026-05-08,2026-05-08,merged,actions/github-script,1
github/spec-kit,2487,chore(deps): bump DavidAnson/markdownlint-cli2-action from 23.1.0 to 23.2.0,2026-05-07,2026-05-08,2026-05-08,merged,davidanson/markdownlint-cli2-action,1
github/spec-kit,2486,chore(deps): bump actions/checkout from 4.3.1 to 6.0.2,2026-05-07,2026-05-11,2026-05-11,merged,actions/checkout,4
github/spec-kit,2485,chore(deps): bump github/codeql-action from 4.35.3 to 4.35.4,2026-05-07,2026-05-08,2026-05-08,merged,github/codeql-action,1
github/spec-kit,2425,chore(deps): bump DavidAnson/markdownlint-cli2-action from 23.0.0 to 23.1.0,2026-04-30,2026-05-01,2026-05-01,merged,davidanson/markdownlint-cli2-action,1
github/spec-kit,2345,chore(deps): bump astral-sh/setup-uv from 8.0.0 to 8.1.0,2026-04-23,2026-04-24,2026-04-24,merged,astral-sh/setup-uv,1
github/spec-kit,2251,chore(deps): bump actions/upload-pages-artifact from 3 to 5,2026-04-16,2026-04-17,2026-04-17,merged,actions/upload-pages-artifact,1
github/spec-kit,2072,chore(deps): bump astral-sh/setup-uv from 7.6.0 to 8.0.0,2026-04-02,2026-04-03,2026-04-03,merged,astral-sh/setup-uv,1
github/spec-kit,2071,chore(deps): bump actions/configure-pages from 5 to 6,2026-04-02,2026-04-03,2026-04-03,merged,actions/configure-pages,1
github/spec-kit,1990,chore(deps): bump actions/deploy-pages from 4 to 5,2026-03-26,2026-03-27,2026-03-27,merged,actions/deploy-pages,1
github/spec-kit,1989,chore(deps): bump DavidAnson/markdownlint-cli2-action from 19 to 23,2026-03-26,2026-03-27,2026-03-27,merged,davidanson/markdownlint-cli2-action,1
github/spec-kit,1710,chore(deps): bump actions/setup-python from 5 to 6,2026-02-26,2026-02-27,2026-02-27,merged,actions/setup-python,1
github/spec-kit,1709,chore(deps): bump astral-sh/setup-uv from 6 to 7,2026-02-26,2026-02-27,2026-02-27,merged,astral-sh/setup-uv,1
github/spec-kit,1635,chore(deps): bump github/codeql-action from 3 to 4,2026-02-19,2026-02-19,2026-02-19,merged,github/codeql-action,0
github/spec-kit,1627,chore(deps): bump actions/checkout from 4 to 6,2026-02-18,,2026-02-19,closed,actions/checkout,1
github/spec-kit,1626,chore(deps): bump actions/setup-dotnet from 4 to 5,2026-02-18,,2026-02-19,closed,actions/setup-dotnet,1
github/spec-kit,1625,chore(deps): bump DavidAnson/markdownlint-cli2-action from 19 to 22,2026-02-18,,2026-02-19,closed,davidanson/markdownlint-cli2-action,1
github/spec-kit,1624,chore(deps): bump actions/upload-pages-artifact from 3 to 4,2026-02-18,,2026-02-19,closed,actions/upload-pages-artifact,1
github/spec-kit,1623,chore(deps): bump actions/stale from 9 to 10,2026-02-18,2026-02-19,2026-02-19,merged,actions/stale,1
microsoft/markitdown,1487,Bump actions/checkout from 5 to 6,2025-11-24,,,open,actions/checkout,
microsoft/markitdown,1411,Bump actions/setup-python from 5 to 6,2025-09-08,,,open,actions/setup-python,
microsoft/markitdown,1394,Bump actions/checkout from 4 to 5,2025-08-11,2025-08-26,2025-08-26,merged,actions/checkout,15.0
microsoft/markitdown,179,Bump actions/setup-python from 2 to 5,2024-12-20,2024-12-21,2024-12-21,merged,actions/setup-python,0.0
microsoft/markitdown,178,Bump actions/cache from 3 to 4,2024-12-20,2024-12-21,2024-12-21,merged,actions/cache,0.0
microsoft/markitdown,177,Bump actions/checkout from 2 to 4,2024-12-20,2024-12-20,2024-12-20,merged,actions/checkout,0.0
google-gemini/gemini-cli,27019,chore(deps): bump systeminformation from 5.31.4 to 5.31.6,2026-05-13,,2026-05-13,closed,systeminformation,0.0
google-gemini/gemini-cli,26945,chore(deps): bump @protobufjs/utf8 from 1.1.0 to 1.1.1,2026-05-12,,2026-05-12,closed,@protobufjs/utf8,0.0
google-gemini/gemini-cli,26920,"build(deps): bump protobufjs, @opentelemetry/exporter-logs-otlp-grpc, @opentelemetry/exporter-logs-otlp-http, @opentelemetry/exporter-metrics-otlp-grpc, @opentelemetry/exporter-metrics-otlp-http, @opentelemetry/exporter-trace-otlp-grpc, @opentelemetry/exporter-trace-otlp-http, @opentelemetry/otlp-exporter-base and @opentelemetry/sdk-node",2026-05-12,,2026-05-12,closed,unknown,0.0
google-gemini/gemini-cli,26867,build(deps): bump @opentelemetry/exporter-prometheus and @opentelemetry/sdk-node,2026-05-11,,2026-05-11,closed,unknown,0.0
google-gemini/gemini-cli,26716,build(deps): bump fast-uri from 3.0.6 to 3.1.2,2026-05-08,,2026-05-08,closed,fast-uri,0.0
